pf,N,m,T,sigma,cut,U_F-CS,U_F-kolafa,U_F-thol,U_F-mecke,U_F-gottschalk,U_F-hess,U_RDF_CS,U_RDF_LJ
3.000e-01,3.000e+03,1.000e+00,2.500e+00,1.000e+00,4.500e+00,8.342e-01,-3.263e+00,-3.430e+00,-3.421e+00,-3.571e+00,-3.629e+00,-3.629e+00,-3.629e+00
1.000e-01,3.000e+03,1.000e+00,2.600e+00,1.000e+00,4.500e+00,1.628e-01,-1.145e+00,-1.173e+00,-1.164e+00,-1.168e+00,-1.200e+00,-1.200e+00,-1.200e+00
3.000e-01,3.000e+03,1.000e+00,2.600e+00,1.000e+00,4.500e+00,8.665e-01,-3.221e+00,-3.395e+00,-3.384e+00,-3.520e+00,-3.586e+00,-3.586e+00,-3.586e+00
1.000e-01,3.000e+03,1.000e+00,2.700e+00,1.000e+00,4.500e+00,1.694e-01,-1.132e+00,-1.161e+00,-1.153e+00,-1.157e+00,-1.186e+00,-1.186e+00,-1.186e+00
3.000e-01,3.000e+03,1.000e+00,2.700e+00,1.000e+00,4.500e+00,8.987e-01,-3.180e+00,-3.361e+00,-3.348e+00,-3.470e+00,-3.545e+00,-3.545e+00,-3.545e+00
1.000e-01,3.000e+03,1.000e+00,2.800e+00,1.000e+00,4.500e+00,1.761e-01,-1.120e+00,-1.151e+00,-1.143e+00,-1.147e+00,-1.173e+00,-1.173e+00,-1.173e+00
3.000e-01,3.000e+03,1.000e+00,2.800e+00,1.000e+00,4.500e+00,9.307e-01,-3.140e+00,-3.327e+00,-3.313e+00,-3.423e+00,-3.506e+00,-3.506e+00,-3.506e+00
1.000e-01,3.000e+03,1.000e+00,2.900e+00,1.000e+00,4.500e+00,1.828e-01,-1.109e+00,-1.141e+00,-1.133e+00,-1.136e+00,-1.161e+00,-1.161e+00,-1.161e+00
3.000e-01,3.000e+03,1.000e+00,2.900e+00,1.000e+00,4.500e+00,9.626e-01,-3.102e+00,-3.293e+00,-3.278e+00,-3.377e+00,-3.469e+00,-3.469e+00,-3.469e+00
1.000e-01,3.000e+03,1.000e+00,3.000e+00,1.000e+00,4.500e+00,1.894e-01,-1.097e+00,-1.131e+00,-1.123e+00,-1.126e+00,-1.150e+00,-1.150e+00,-1.150e+00
3.000e-01,3.000e+03,1.000e+00,3.000e+00,1.000e+00,4.500e+00,9.944e-01,-3.063e+00,-3.259e+00,-3.243e+00,-3.334e+00,-3.433e+00,-3.433e+00,-3.433e+00
1.000e-01,3.000e+03,1.000e+00,3.100e+00,1.000e+00,4.500e+00,1.961e-01,-1.086e+00,-1.121e+00,-1.114e+00,-1.117e+00,-1.139e+00,-1.139e+00,-1.139e+00
3.000e-01,3.000e+03,1.000e+00,3.100e+00,1.000e+00,4.500e+00,1.026e+00,-3.026e+00,-3.226e+00,-3.209e+00,-3.292e+00,-3.400e+00,-3.400e+00,-3.400e+00
1.000e-01,3.000e+03,1.000e+00,3.200e+00,1.000e+00,4.500e+00,2.027e-01,-1.076e+00,-1.112e+00,-1.105e+00,-1.107e+00,-1.128e+00,-1.128e+00,-1.128e+00
3.000e-01,3.000e+03,1.000e+00,3.200e+00,1.000e+00,4.500e+00,1.058e+00,-2.989e+00,-3.193e+00,-3.176e+00,-3.251e+00,-3.367e+00,-3.367e+00,-3.367e+00
1.000e-01,3.000e+03,1.000e+00,3.300e+00,1.000e+00,4.500e+00,2.094e-01,-1.065e+00,-1.103e+00,-1.097e+00,-1.098e+00,-1.118e+00,-1.118e+00,-1.118e+00
3.000e-01,3.000e+03,1.000e+00,3.300e+00,1.000e+00,4.500e+00,1.089e+00,-2.953e+00,-3.160e+00,-3.143e+00,-3.211e+00,-3.336e+00,-3.336e+00,-3.336e+00
1.000e-01,3.000e+03,1.000e+00,3.400e+00,1.000e+00,4.500e+00,2.160e-01,-1.055e+00,-1.094e+00,-1.088e+00,-1.090e+00,-1.108e+00,-1.108e+00,-1.108e+00
3.000e-01,3.000e+03,1.000e+00,3.400e+00,1.000e+00,4.500e+00,1.120e+00,-2.917e+00,-3.128e+00,-3.110e+00,-3.173e+00,-3.306e+00,-3.306e+00,-3.306e+00
1.000e-01,3.000e+03,1.000e+00,3.500e+00,1.000e+00,4.500e+00,2.227e-01,-1.045e+00,-1.086e+00,-1.080e+00,-1.081e+00,-1.099e+00,-1.099e+00,-1.099e+00
3.000e-01,3.000e+03,1.000e+00,3.500e+00,1.000e+00,4.500e+00,1.152e+00,-2.881e+00,-3.096e+00,-3.077e+00,-3.136e+00,-3.276e+00,-3.276e+00,-3.276e+00
1.000e-01,3.000e+03,1.000e+00,3.600e+00,1.000e+00,4.500e+00,2.293e-01,-1.035e+00,-1.078e+00,-1.072e+00,-1.072e+00,-1.089e+00,-1.089e+00,-1.089e+00
3.000e-01,3.000e+03,1.000e+00,3.600e+00,1.000e+00,4.500e+00,1.183e+00,-2.846e+00,-3.064e+00,-3.045e+00,-3.099e+00,-3.248e+00,-3.248e+00,-3.248e+00
1.000e-01,3.000e+03,1.000e+00,3.700e+00,1.000e+00,4.500e+00,2.360e-01,-1.026e+00,-1.069e+00,-1.064e+00,-1.064e+00,-1.080e+00,-1.080e+00,-1.080e+00
3.000e-01,3.000e+03,1.000e+00,3.700e+00,1.000e+00,4.500e+00,1.214e+00,-2.811e+00,-3.032e+00,-3.012e+00,-3.063e+00,-3.220e+00,-3.220e+00,-3.220e+00
1.000e-01,3.000e+03,1.000e+00,3.800e+00,1.000e+00,4.500e+00,2.426e-01,-1.016e+00,-1.061e+00,-1.056e+00,-1.056e+00,-1.072e+00,-1.072e+00,-1.072e+00
3.000e-01,3.000e+03,1.000e+00,3.800e+00,1.000e+00,4.500e+00,1.245e+00,-2.777e+00,-3.000e+00,-2.981e+00,-3.028e+00,-3.194e+00,-3.194e+00,-3.194e+00
1.000e-01,3.000e+03,1.000e+00,3.900e+00,1.000e+00,4.500e+00,2.492e-01,-1.007e+00,-1.054e+00,-1.048e+00,-1.048e+00,-1.063e+00,-1.063e+00,-1.063e+00
3.000e-01,3.000e+03,1.000e+00,3.900e+00,1.000e+00,4.500e+00,1.275e+00,-2.743e+00,-2.969e+00,-2.949e+00,-2.994e+00,-3.167e+00,-3.167e+00,-3.167e+00
1.000e-01,3.000e+03,1.000e+00,4.000e+00,1.000e+00,4.500e+00,2.559e-01,-9.974e-01,-1.046e+00,-1.041e+00,-1.040e+00,-1.055e+00,-1.055e+00,-1.055e+00
3.000e-01,3.000e+03,1.000e+00,4.000e+00,1.000e+00,4.500e+00,1.306e+00,-2.709e+00,-2.938e+00,-2.918e+00,-2.960e+00,-3.142e+00,-3.142e+00,-3.142e+00
